"Food","FCDB Food ID","Serving Size or CSM","Serving Size Unit","Quantity per 100 g","Nutrient Unit","Quantity per serve","Nutrient Unit","%DI Per Serve"
"Hemp seed, hulled, dry","Q1042","30","g","0.0","g","0.0","g",""
"Pecan nut, dried, raw","Q1044","30","g","0.0","g","0.0","g",""
"Macadamia nut, dried, raw","Q1045","30","g","0.0","g","0.0","g",""
"Pecan nut, dry roasted, unsalted","Q1048","30","g","0.0","g","0.0","g",""
"Pine nut, dry roasted, unsalted","Q1047","30","g","0.0","g","0.0","g",""
"Macadamia nut, dry roasted, unsalted","Q1049","30","g","0.0","g","0.0","g",""
"Macadamia nut, dry roasted, salted","Q1050","30","g","0.0","g","0.0","g",""
"Protein powder, from hemp seed, dry","Q1053","30","g","0.0","g","0.0","g",""
"Coconut, desiccated","Q1055","30","g","0.0","g","0.0","g",""
"Coconut, mature fruit, white flesh, grated, fresh","Q1054","30","g","0.0","g","0.0","g",""
"Cashew nut, dry roasted, salted","Q1057","30","g","0.0","g","0.0","g",""
"Cashew nut, raw","Q1056","30","g","0.0","g","0.0","g",""
"Peanut, with skin, raw","Q1059","30","g","0.0","g","0.0","g",""
"Peanut, with skin, roasted, unsalted","Q1061","30","g","0.0","g","0.0","g",""
"Cashew nut, dry roasted, unsalted","Q1058","30","g","0.0","g","0.0","g",""
"Peanut, with skin, dry roasted, salted","Q1060","30","g","0.0","g","0.0","g",""
"Peanut, blanched, roasted, salted","Q1063","30","g","0.0","g","0.0","g",""
"Peanut, blanched, raw","Q1062","30","g","0.0","g","0.0","g",""
"Nut, mixed, salted","Q11","30","g","0.0","g","0.0","g",""
"Peanut, blanched, dry roasted, unsalted","Q1064","30","g","0.0","g","0.0","g",""
"Chestnut, roasted","Q18","30","g","0.0","g","0.0","g",""
"Seed, pumpkin, roasted, salt added","Q23","15","g","0.0","g","0.0","g",""
"Seed, sesame, roasted","Q24","10","g","0.0","g","0.0","g",""
"Barcelona nut, raw","Q2","30","g","0.0","g","0.0","g",""
"Seed, sesame butter, tahini","Q27","16","g","0.0","g","0.0","g",""
"Coconut cream, fresh, no water added","Q34","125","mL","0.0","g","0.0","g",""
"Seed, sunflower, roasted with oil, salt added","Q25","10","g","0.0","g","0.0","g",""
"Seed, sunflower, dry roasted, no salt added","Q43","10","g","0.0","g","0.0","g",""
"Coconut meat, dried, creamed","Q44","30","g","0.0","g","0.0","g",""
"Coconut cream, fresh, prepared with water","Q35","125","mL","0.0","g","0.0","g",""
"Lemon curd, cooked","R10009","15","g","0.0","g","0.0","g",""
"Pudding, rice, cocoa & coconut, cooked","R10011","75","g","0.0","g","0.0","g",""
"Pudding, custard, prepared with standard milk, simmered","R10020","100","g","0.0","g","0.0","g",""
"Ratatouille, with assorted vegetables, cooked, no salt added","R10024","30","g","0.0","g","0.0","g",""
"Meringue, baked","R10023","253","g","0.0","g","0.0","g",""
"Omelette, egg, chicken, cooked with butter","R10026","64","g","0.0","g","0.0","g",""
"Egg, chicken, omelette, with cheese and butter, cooked","R10025","78","g","0.0","g","0.0","g",""
"Jelly, made with whole milk","R10036","145","g","0.0","g","0.0","g",""
"French dressing","R10040","15","mL","0.0","g","0.0","g",""
"Kedgeree","R10037","250","g","0.0","g","0.0","g",""
"Pavlova, not filled, baked","R10038","30","g","0.0","g","0.0","g",""
"Dip, guacamole with sour cream, home-made","R10560","15","g","0.0","g","0.0","g",""
"Jelly, made with water","R332","145","g","0.0","g","0.0","g",""
"Spaghetti bolognese, meat base, with spaghetti, no salt added","R5741","375","g","0.0","g","0.0","g",""
"Bolognese, prepared with beef mince, cooked, no salt added","R5740","270","g","0.0","g","0.0","g",""
"Pudding, custard, prepared with whole milk (4% fat), simmered","R5745","100","g","0.0","g","0.0","g",""
"Sauce, tomato, regular, sugar-sweetened, commercial","S10001","17","g","0.0","g","0.0","g",""
"Chilli con carne, with beef mince and red kidney beans, no salt added","R5748","270","g","0.0","g","0.0","g",""
"Sauce, tomato, reduced sugar-sweetened, commercial","S10002","16","g","0.0","g","0.0","g",""
"Dip, onion dry mix prepared with reduced cream","S10005","16","g","0.0","g","0.0","g",""
"Dip, guacamole, commercial","S1001","15","g","0.0","g","0.0","g",""
"Pesto, basil, garlic, nuts, commercial","S1004","15","g","0.0","g","0.0","g",""
"Dip, salsa, tomato based","S1002","16","g","0.0","g","0.0","g",""
"Dip, yoghurt, cucumber","S1003","16","g","0.0","g","0.0","g",""
"Kimchi, pickled vegetables, Korean","S1005","15","g","0.0","g","0.0","g",""
"Gravy, mushroom, dry powder","S1006","16","g","0.0","g","0.0","g",""
"Sauce, tomato, Ketchup, CeresOrganics","S1009","7","g","0.0","g","0.0","g",""
"Sauce, tomato, ketchup","S1008","6","g","0.0","g","0.0","g",""
"Sauce, soy, commercial","S1014","18","g","0.0","g","0.0","g",""
"Sauce, chilli, sweet, commercial","S1016","18","g","0.0","g","0.0","g",""
"Sauce, simmer, korma, cream & coconut base","S1019","133","g","0.0","g","0.0","g",""
"Sauce, Worcestershire","S14","5","mL","0.0","g","0.0","g",""
"Sauce, hoisin","S23","15","g","0.0","g","0.0","g",""
"Sauce, chilli","S22","17","g","0.0","g","0.0","g",""
"Dressing, coleslaw, Lite, Eta®","S29","15","g","0.0","g","0.0","g",""
"Dressing, French, Kraft","S28","15","g","0.0","g","0.0","g",""
"Salad, cream","S3","15","g","0.0","g","0.0","g",""
"Dressing, Italian, Kraft","S31","15","g","0.0","g","0.0","g",""
"Dressing, free salad, Kraft","S30","16","g","0.0","g","0.0","g",""
"Dressing, Italian, lite, Eta®","S32","15","g","0.0","g","0.0","g",""
"Sauce, pasta, tomato based, heated, commercial","S35","136","g","0.0","g","0.0","g",""
"Mustard, creamed, commercial","S33","16","g","0.0","g","0.0","g",""
"Sauce, mint","S34","14","g","0.0","g","0.0","g",""
"Topping, fruit flavoured","S36","22","g","0.0","g","0.0","g",""
"Syrup, maple","S39","20","g","0.0","g","0.0","g",""
"Molasses, sweet","S40","20","g","0.0","g","0.0","g",""
"Sauce, brown","S4","16","g","0.0","g","0.0","g",""
"Sauce, tabasco","S42","15","g","0.0","g","0.0","g",""
"Dressing, mayonnaise, commercial","S45","15","g","0.0","g","0.0","g",""
"Sauce, black bean","S43","17","g","0.0","g","0.0","g",""
"Sauce, tartare, Eta®","S46","15","g","0.0","g","0.0","g",""
"Dressing, potato salad, Eta®","S48","15","g","0.0","g","0.0","g",""
"Dressing, Coleslaw, Eta®","S47","15","g","0.0","g","0.0","g",""
"Dressing, salad, Homestyle, Eta®","S49","15","g","0.0","g","0.0","g",""
"Dressing, Potato Salad, Lite, Eta®","S51","15","g","0.0","g","0.0","g",""
"Dressing, salad, Kraft","S55","15","g","0.0","g","0.0","g",""
"Dressing, thousand island, Eta®","S50","16","g","0.0","g","0.0","g",""
"Dressing, Lite, Eta®","S52","15","g","0.0","g","0.0","g",""
"Dressing, seafood, Eta®","S56","15","g","0.0","g","0.0","g",""
"Dressing, Coleslaw, Free, Kraft","S53","15","g","0.0","g","0.0","g",""
"Curry paste, Thai red","S61","16","g","0.0","g","0.0","g",""
"Dressing, salad, light, Eta®","S57","15","g","0.0","g","0.0","g",""
"Dressing, mayonnaise, reduced fat, commercial","S64","14","g","0.0","g","0.0","g",""
"Sauce, pasta, chunky vegetable, tomato based, heated","S68","273","g","0.0","g","0.0","g",""
"Dressing, vinaigrette","S7","16","g","0.0","g","0.0","g",""
"Sauce, simmer, butter chicken, heated","S70","268","g","0.0","g","0.0","g",""
"Sauce, simmer, sweet & sour, heated","S69","283","g","0.0","g","0.0","g",""
"Sauce, simmer, savoury, heated","S72","270","g","0.0","g","0.0","g",""
"Hummus, original, 6.5% fat","S73","16","g","0.0","g","0.0","g",""
"Sauce, simmer, satay, heated","S71","271","g","0.0","g","0.0","g",""
"Hummus, roasted capsicum, 7.5% fat","S75","12","g","0.0","g","0.0","g",""
"Dip, feta & spinach, 20% fat","S76","15","g","0.0","g","0.0","g",""
"Hummus, sundried tomato, 7.5% fat","S74","12","g","0.0","g","0.0","g",""
"Dip, sour cream, assorted flavours, 12% fat","S78","16","g","0.0","g","0.0","g",""
"Dip, sour cream, lite, assorted flavours, 7% fat","S79","16","g","0.0","g","0.0","g",""
"Dip, sour cream, assorted flavours, 30% fat, La Bonne","S77","14","g","0.0","g","0.0","g",""
"Cockle, raw","T1","115","g","0.0","g","0.0","g",""
"Paua, raw","T10","115","g","0.0","g","0.0","g",""
"Sauce, custard","S8","100","g","0.0","g","0.0","g",""
"Mollusks, octopus, raw, common","T1002","115","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, flavoured, drained, ready to eat, Garlic, Future Cuisine™","T1003","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, drained, ready to eat, Talley's","T1005","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, drained, ready to eat, Traditional, Future Cuisine™","T1004","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, flavoured, drained, ready to eat, Garlic Mussels, Talley's","T1007","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, flavoured, drained, ready to eat, Chilli, Talley's","T1006","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, flavoured, drained, ready to eat, Roast Garlic, Kono™","T1009","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, flavoured, drained, ready to eat, Lemongrass & Ginger, Talley's","T1008","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, assorted flavours, drained, ready to eat, Sealord™","T1015","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, marinated, drained, ready to eat, Natural, Kono™","T1010","45","g","0.0","g","0.0","g",""
"Mussel, green, meat, smoked, flavoured, ready to eat, Chilli, Future Cuisine™","T1018","90","g","0.0","g","0.0","g",""
"Mussel, green, meat, smoked, flavoured, ready to eat, BBQ, Aqua Fresh","T1020","90","g","0.0","g","0.0","g",""
"Mussel, green, meat, smoked, flavoured,  ready to eat, Chilli, Aqua Fresh","T1021","90","g","0.0","g","0.0","g",""
"Mussel, green, meat, smoked, flavoured, ready to eat, Garlic, Future Cuisine™","T1019","90","g","0.0","g","0.0","g",""
"Mussel, green, meat, smoked, ready to eat, Natural, Aqua Fresh","T1023","90","g","0.0","g","0.0","g",""
"Mussel, green, meat, smoked, flavoured, ready to eat, Garlic, Aqua Fresh","T1022","90","g","0.0","g","0.0","g",""
"Mussel, meat, in oil, canned, smoked, drained, ready to eat","T1025","34","g","0.0","g","0.0","g",""
"Mussel, green, meat, fresh, raw","T1024","110","g","0.0","g","0.0","g",""
"Prawn, king, flesh, cooked","T1027","100","g","0.0","g","0.0","g",""
"Mussel, green, meat, boiled","T1026","100","g","0.0","g","0.0","g",""
"Prawn, king, flesh, raw","T1028","110","g","0.0","g","0.0","g",""
"Squid, Arrow, mantle, raw","T13","110","g","0.0","g","0.0","g",""
"Shrimp, canned, drained","T12","100","g","0.0","g","0.0","g",""
"Crab, raw","T15","110","g","0.0","g","0.0","g",""
"Toheroa, raw","T14","110","g","0.0","g","0.0","g",""
"Lobster, Rock, raw","T2","110","g","0.0","g","0.0","g",""
"Paua, fritter, deep-fried","T25","100","g","0.0","g","0.0","g",""
"Kina, roe, raw","T26","50","g","0.0","g","0.0","g",""
"Cockle, boiled","T31","100","g","0.0","g","0.0","g",""
"Crabmeat, canned in brine","T32","60","g","0.0","g","0.0","g",""
"Scallop, Queen, flesh, raw","T30","110","g","0.0","g","0.0","g",""
"Crab, meat stick, surimi","T40","41","g","0.0","g","0.0","g",""
"Shrimp, boiled","T42","100","g","0.0","g","0.0","g",""
"Lobster, cooked","T39","100","g","0.0","g","0.0","g",""
"Shrimp, mixed species, raw","T45","110","g","0.0","g","0.0","g",""
"Snack bar, puffed rice-based, sweetened with intense sweetener and dark chocolate","U10005","24","g","0.0","g","0.0","g",""
"Snack bar, puffed rice-based, sweetened with intense sweetener and white chocolate","U10004","25","g","0.0","g","0.0","g",""
"Cereal soft bar, whole grain oat-based, plain or with white chocolate","U10013","40","g","0.0","g","0.0","g",""
"Snack bar, puffed rice-based, sweetened with intense sweetener and non-dairy chocolate","U10024","21","g","0.0","g","0.0","g",""
"Soy chips, salted","U1008","30","g","0.0","g","0.0","g",""
"Popcorn, air popped","U1009","11","g","0.0","g","0.0","g",""
"Potato chip or crisp, plain, salted, fried in assorted oils","U1012","30","g","0.0","g","0.0","g",""
"Potato chip or crisp, assorted flavours, salted, fried in assorted oils","U1013","30","g","0.0","g","0.0","g",""
"Corn chip, plain, unsalted, fried in assorted oils","U1015","30","g","0.0","g","0.0","g",""
"Corn chip, plain, salted, fried in assorted oils","U1014","30","g","0.0","g","0.0","g",""
"Snack, cassava crisps, plain or assorted flavours, salt added","U1023","30","g","0.0","g","0.0","g",""
"Fruit bar, wholemeal, assorted flavours, Mother Earth™","U21","50","g","0.0","g","0.0","g",""
"Fruit leather, apricot","U34","40","g","0.0","g","0.0","g",""
"Beef jerky","U39","20","g","0.0","g","0.0","g",""
"Snack, potato crisp, salted, Kettle®","U36","30","g","0.0","g","0.0","g",""
"Popcorn, buttered, salted, Pop N Good®","U40","10","g","0.0","g","0.0","g",""
"Potato crisp, Natural, Eta®","U47","30","g","0.0","g","0.0","g",""
"Raisin, yoghurt coated","U56","30","g","0.0","g","0.0","g",""
"Chickpea noodle, fried, Bombay mix","U61","30","g","0.0","g","0.0","g",""
"Muesli bar, blueberry & apple","U58","52","g","0.0","g","0.0","g",""
"Soup, oxtail, canned","V10","250","mL","0.0","g","0.0","g",""
"Soup, bone & vegetable broth","V1","250","mL","0.0","g","0.0","g",""
"Soup, onion dry mix prepared with water","V10002","250","mL","0.0","g","0.0","g",""
"Soup or dip, onion flavoured dry mix, commercial","V10001","14","g","0.0","g","0.0","g",""
"Soup, chicken & vegetable, heated, Wattie's®","V1003","250","mL","0.0","g","0.0","g",""
"Soup, lentil & vegetables, heated, Wattie's®","V1004","250","mL","0.0","g","0.0","g",""
"Soup, chicken & corn, heated","V1002","250","mL","0.0","g","0.0","g",""
"Soup, Tuscan tomato, heated, Wattie's®","V1006","250","mL","0.0","g","0.0","g",""
"Soup, pumpkin, heated, Wattie's®","V1007","250","mL","0.0","g","0.0","g",""
"Soup, seafood chowder, heated","V1005","250","mL","0.0","g","0.0","g",""
"Soup, chicken & corn, heated, Wattie's®","V1008","250","mL","0.0","g","0.0","g",""
"Soup, tomato, condensed, canned","V13","250","mL","0.0","g","0.0","g",""
"Soup, tomato, condensed, canned, prepared with water","V14","250","mL","0.0","g","0.0","g",""
"Soup, vegetable, canned","V18","250","mL","0.0","g","0.0","g",""
"Soup, cream of tomato, canned","V15","250","mL","0.0","g","0.0","g",""
"Soup, fish chowder","V19","250","mL","0.0","g","0.0","g",""
"Soup, cream of chicken, canned","V4","250","mL","0.0","g","0.0","g",""
"Soup, minestrone, instant dry mix, prepared with water","V8","250","mL","0.0","g","0.0","g",""
"Broth, chicken, dried","V80","7","g","0.0","g","0.0","g",""
"Broth, bouillon, beef, low sodium, dried","V79","103","g","0.0","g","0.0","g",""
"Glucose liquid, BP","W10","20","g","0.0","g","0.0","g",""
"Soup, cream of mushroom, canned","V9","250","mL","0.0","g","0.0","g",""
"Chocolate bar & block, Dairy Milk Fruit & Nut™, Cadbury®","W1010","52","g","0.0","g","0.0","g",""
"Chocolate block & slab, Peanut, Whittaker's®","W1011","52","g","0.0","g","0.0","g",""
"Chocolate bar & block, Energy™, Cadbury®","W1012","51","g","0.0","g","0.0","g",""
"Chocolate, compound","W1015","15","g","0.0","g","0.0","g",""
"Spread, hazelnut, Nutella®, Ferrero","W1016","14","g","0.0","g","0.0","g",""
"Marmalade, assorted citrus fruits, sweetened with artificial or intense sweetener","W1024","20","g","0.0","g","0.0","g",""
"Marmalade, assorted citrus fruits, sweetened with juice","W1023","20","g","0.0","g","0.0","g",""
"Dark chocolate, cocoa solids (70–84%), sugar added","W1026","25","g","0.0","g","0.0","g",""
"Dark chocolate, cocoa solids (45–69%), sugar added","W1025","25","g","0.0","g","0.0","g",""
"Dark chocolate, cocoa solids (>85%), sugar added","W1027","25","g","0.0","g","0.0","g",""
"White chocolate, plain","W1028","25","g","0.0","g","0.0","g",""
"Milk chocolate, plain","W1029","25","g","0.0","g","0.0","g",""
"Jelly, crystals, unprepared","W16","14","g","0.0","g","0.0","g",""
"Jam, stone fruit","W15","16","g","0.0","g","0.0","g",""
"Sugar, brown","W19","4","g","0.0","g","0.0","g",""
"Sugar, demerara","W22","4","g","0.0","g","0.0","g",""
"Sugar, caster","W20","5","g","0.0","g","0.0","g",""
"Sugar, coffee","W21","4","g","0.0","g","0.0","g",""
"Sugar, raw","W23","4","g","0.0","g","0.0","g",""
"Sugar, white","W24","5","g","0.0","g","0.0","g",""
"Chocolate bar, milk","W3","50","g","0.0","g","0.0","g",""
"Sugar, icing","W32","3","g","0.0","g","0.0","g",""
"Ice block, frozen","W31","80","g","0.0","g","0.0","g",""
"Chocolate bar, plain","W4","40","g","0.0","g","0.0","g",""
"Sauce, chocolate","W46","15","g","0.0","g","0.0","g",""
"Gelatin, reduced calories, prepared","W52","250","mL","0.0","g","0.0","g",""
"Sauce, barbecue","W72","15","g","0.0","g","0.0","g",""
"Molasses","W70","20","g","0.0","g","0.0","g",""
"Kumara, 'Purple Dawn', peeled, fresh, raw","X10001","135","g","0.0","g","0.0","g",""
"Bean, haricot, boiled, drained","X10","80","g","0.0","g","0.0","g",""
"Potato, flesh, raw","X100","135","g","0.0","g","0.0","g",""
"Capsicum, red, sliced, frozen, pan-fried with olive oil, no salt added","X10003","80","g","0.0","g","0.0","g",""
"Onion, sliced or diced, frozen, pan-fried with olive oil, no salt added","X10004","80","g","0.0","g","0.0","g",""
"Mushroom, Portobello, whole, baked with oil","X10007","80","g","0.0","g","0.0","g",""
"Eggplant, flesh, skin & seed, baked with oil","X10006","80","g","0.0","g","0.0","g",""
"Potato, flesh, floury, mashed with standard milk & margarine, no salt added","X10009","135","g","0.0","g","0.0","g",""
"Potato, flesh, floury, mashed with standard milk & butter, no salt added","X10008","135","g","0.0","g","0.0","g",""
"Mushroom, button, white or brown, fresh, pan-fried with oil","X10010","80","g","0.0","g","0.0","g",""
"Taro, corm, flesh, baked","X10012","80","g","0.0","g","0.0","g",""
"Snow pea, seeds with pod, fresh, stir-fried with oil","X10011","80","g","0.0","g","0.0","g",""
"Fennel, Florence, bulb, raw, fresh","X10013","75","g","0.0","g","0.0","g",""
"Celeriac, taproot, peeled, flesh, raw, fresh","X10018","75","g","0.0","g","0.0","g",""
"Butternut, squash, peeled, flesh, fresh, raw","X10026","75","g","0.0","g","0.0","g",""
"Okra, fresh or frozen, raw","X10021","75","g","0.0","g","0.0","g",""
"Natto, from whole or split soybean, fermented","X10031","100","g","0.0","g","0.0","g",""
"Lentil, brown or green, mature, whole with husk, dried, raw","X10033","212","g","0.0","g","0.0","g",""
"Tempeh, fermented soybeans, uncooked","X10030","152","g","0.0","g","0.0","g",""
"Lentil, red or orange, mature, split, or whole without husk, dried, raw","X10032","194","g","0.0","g","0.0","g",""
"Lentil, French, mature, whole with husk, dry","X10034","218","g","0.0","g","0.0","g",""
"Fennel, Florence, bulb vegetable, sautéed without oil, unsalted","X10036","75","g","0.0","g","0.0","g",""
"Fennel, Florence, bulb, sautéed with olive oil, unsalted","X10035","75","g","0.0","g","0.0","g",""
"Okra, fresh or frozen, boiled, drained, unsalted","X10038","75","g","0.0","g","0.0","g",""
"Celeriac, taproot, peeled, flesh, boiled, drained, unsalted","X10037","75","g","0.0","g","0.0","g",""
"Butternut, squash, peeled, boiled, drained, unsalted","X10039","75","g","0.0","g","0.0","g",""
"Lentil, canned in salted or unsalted water, rinsed and drained","X10044","75","g","0.0","g","0.0","g",""
"Butternut, squash, peeled, baked without oil, unsalted","X10040","75","g","0.0","g","0.0","g",""
"Bean, black, canned in salted water (brine), drained","X10047","75","g","0.0","g","0.0","g",""
"Bean, black, canned in unsalted water, drained","X10046","75","g","0.0","g","0.0","g",""
"Jackfruit, unripe (green or young), canned in brine, drained","X10050","75","g","0.0","g","0.0","g",""
"Corn, baby, canned in salted water (brine), drained","X10048","75","g","0.0","g","0.0","g",""
"Black gram dhal, seed vegetable, mature seed, hulled, dried, raw","X10052","216","g","0.0","g","0.0","g",""
"Lentil, brown or green, mature, whole with husk, boiled, undrained, unsalted","X10054","75","g","0.0","g","0.0","g",""
"Lentil, red or orange, mature, split, or whole without husk, boiled, undrained, unsalted","X10053","75","g","0.0","g","0.0","g",""
"Tempeh, fermented soybeans, stir-fried with olive oil, no salt added","X10056","100","g","0.0","g","0.0","g",""
"Lentil, French, matured, dry, whole with husk, boiled, drained, unsalted","X10055","75","g","0.0","g","0.0","g",""
"Potato, fries, fried in beef dripping, salt added","X101","100","g","0.0","g","0.0","g",""
"Seaweed, sheet, toasted, nori","X1013","3","g","0.0","g","0.0","g",""
"Jackfruit, unripe (green or young), canned in brine, drained, stir-fried","X10061","75","g","0.0","g","0.0","g",""
"Kumara, flesh, boiled, drained, no salt added","X1010","135","g","0.0","g","0.0","g",""
"Broccoflower, frozen, raw","X1016","80","g","0.0","g","0.0","g",""
"Seaweed, wrap from sushi, California roll, restaurant","X1014","2","g","0.0","g","0.0","g",""
"Broccoflower, frozen, boiled, drained, no salt added","X1019","80","g","0.0","g","0.0","g",""
"Broccoflower, frozen, microwaved","X1017","80","g","0.0","g","0.0","g",""
"Rocket, leaves, raw","X1018","40","g","0.0","g","0.0","g",""
"Broccoli, microwaved","X1021","80","g","0.0","g","0.0","g",""
"Potato, fries, fried in peanut oil, salt added","X102","100","g","0.0","g","0.0","g",""
"Broccoli, raw","X1020","80","g","0.0","g","0.0","g",""
"Yam, Pacific, flesh, boiled, drained, no salt added","X1026","135","g","0.0","g","0.0","g",""
"Broccoli, boiled, drained, no salt added","X1022","80","g","0.0","g","0.0","g",""
"Yam, Pacific, flesh, raw,","X1025","135","g","0.0","g","0.0","g",""
"Cloud ear fungus, dried","X1029","12","g","0.0","g","0.0","g",""
"Potato, instant powder, prepared with water","X103","135","g","0.0","g","0.0","g",""
"Potato, fries tempura, frozen, baked, Crunchy Steak Cut Fries, Wattie's®","X1033","100","g","0.0","g","0.0","g",""
"Potato, fries beer batter, frozen, baked","X1032","100","g","0.0","g","0.0","g",""
"Cabbage, bok choy, raw","X1038","80","g","0.0","g","0.0","g",""
"Potato, wedges lower fat & salt, baked, Wedges Crunchy, Pams","X1037","100","g","0.0","g","0.0","g",""
"Potato, flakes, dry","X104","23","g","0.0","g","0.0","g",""
"Cabbage, tat soi, raw","X1039","80","g","0.0","g","0.0","g",""
"Cabbage, choy sum, raw","X1040","80","g","0.0","g","0.0","g",""
"Cucumber, Lebanese, unpeeled, raw","X1043","80","g","0.0","g","0.0","g",""
"Cucumber, apple crystal, unpeeled, raw,","X1042","80","g","0.0","g","0.0","g",""
"Spinach, English, raw","X1045","80","g","0.0","g","0.0","g",""
"Gherkin, pickled, in acidified brine, drained, commercial","X1044","25","g","0.0","g","0.0","g",""
"Salad, Mesclun, leaves, raw","X1047","40","g","0.0","g","0.0","g",""
"Spinach, English, boiled, drained, no salt added","X1046","80","g","0.0","g","0.0","g",""
"Capsicum, green, raw","X1049","80","g","0.0","g","0.0","g",""
"Capsicum, red, raw","X1048","80","g","0.0","g","0.0","g",""
"Capsicum, orange, raw","X1051","80","g","0.0","g","0.0","g",""
"Capsicum, yellow, raw","X1050","80","g","0.0","g","0.0","g",""
"Taro, corm, flesh, raw","X1053","80","g","0.0","g","0.0","g",""
"Cucumber, telegraph, raw, unpeeled","X1052","80","g","0.0","g","0.0","g",""
"Courgette, green, unpeeled, raw","X1058","80","g","0.0","g","0.0","g",""
"Bean, red kidney, boiled, drained","X1060","80","g","0.0","g","0.0","g",""
"Taro, corm, flesh, boiled","X1063","80","g","0.0","g","0.0","g",""
"Yam, New Zealand, Red, unpeeled, raw","X1073","135","g","0.0","g","0.0","g",""
"Puwha, Sow Thistle, leaves & upper stem, raw","X107","40","g","0.0","g","0.0","g",""
"Yams, New Zealand, Apricot Delight, unpeeled, raw","X1075","135","g","0.0","g","0.0","g",""
"Yams, New Zealand, Mellow Yellow, unpeeled, raw","X1074","135","g","0.0","g","0.0","g",""
"Yams, New Zealand, red, unpeeled, boiled, drained, no salt added","X1077","135","g","0.0","g","0.0","g",""
"Yams, New Zealand, red, unpeeled, baked without fat","X1076","135","g","0.0","g","0.0","g",""
"Tomato, paste, canned","X1079","15","g","0.0","g","0.0","g",""
"Tomato, puree, canned, Wattie's®","X1078","15","g","0.0","g","0.0","g",""
"Tomato, paste, canned, high salt","X1080","15","g","0.0","g","0.0","g",""
"Eggplant, raw","X1083","80","g","0.0","g","0.0","g",""
"Tomato, paste, low salt, canned","X1081","15","g","0.0","g","0.0","g",""
"Eggplant, steamed","X1087","80","g","0.0","g","0.0","g",""
"Eggplant, boiled, drained, no salt added","X1086","80","g","0.0","g","0.0","g",""
"Mushroom, Portobello, whole, raw","X1089","80","g","0.0","g","0.0","g",""
"Eggplant, fried with oil","X1088","80","g","0.0","g","0.0","g",""
"Celery, American Green, stalk, raw","X1091","80","g","0.0","g","0.0","g",""
"Pumpkin, Triamble, flesh, raw","X109","80","g","0.0","g","0.0","g",""
"Celery, American Green, stalk, stir fried","X1092","80","g","0.0","g","0.0","g",""
"Beetroot, canned in water, sliced, drained","X1096","80","g","0.0","g","0.0","g",""
"Bean, haricot, seed, dried","X11","40","g","0.0","g","0.0","g",""
"Cabbage, green drumhead, leaves, raw","X1102","80","g","0.0","g","0.0","g",""
"Cabbage, green drumhead, leaves, steamed","X1104","80","g","0.0","g","0.0","g",""
"Cabbage, green drumhead, leaves, boiled, drained, no salt added","X1103","80","g","0.0","g","0.0","g",""
"Asparagus, stalk, fresh, raw","X1105","80","g","0.0","g","0.0","g",""
"Asparagus, stalk, fresh, steamed","X1107","80","g","0.0","g","0.0","g",""
"Asparagus, stalk, fresh, boiled, drained, no salt added","X1106","80","g","0.0","g","0.0","g",""
"Bean, green runner or dwarf, seeds with pod, fresh, boiled, drained, no salt added","X1109","80","g","0.0","g","0.0","g",""
"Bean, green runner or dwarf, seeds with pod, fresh, raw","X1108","80","g","0.0","g","0.0","g",""
"Pumpkin, flesh, raw","X111","80","g","0.0","g","0.0","g",""
"Bean, green runner or dwarf, seeds with pod, fresh, steamed","X1110","80","g","0.0","g","0.0","g",""
"Silverbeet, leaves & stems, fresh, boiled, drained, no salt added","X1112","80","g","0.0","g","0.0","g",""
"Silverbeet, leaves & stems, fresh, raw","X1111","80","g","0.0","g","0.0","g",""
"Carrot, flesh, fresh, boiled, drained, no salt added","X1115","80","g","0.0","g","0.0","g",""
"Silverbeet, leaves & stems, fresh, steamed","X1113","80","g","0.0","g","0.0","g",""
"Carrot, flesh, fresh, raw","X1114","80","g","0.0","g","0.0","g",""
"Carrot, flesh, fresh, steamed","X1116","80","g","0.0","g","0.0","g",""
"Carrot, flesh, fresh, stir fried","X1118","80","g","0.0","g","0.0","g",""
"Carrot, flesh, fresh, baked with oil","X1117","80","g","0.0","g","0.0","g",""
"Pumpkin, Whangaparaoa crown, fresh, boiled, drained, no salt added","X1120","80","g","0.0","g","0.0","g",""
"Pumpkin, Whangaparaoa crown, fresh, raw","X1119","80","g","0.0","g","0.0","g",""
"Pumpkin, flesh, Whangaparaoa crown, fresh, baked with oil","X1122","80","g","0.0","g","0.0","g",""
"Pumpkin, Whangaparaoa crown, flesh, fresh, steamed, Whangaparaoa crown","X1121","80","g","0.0","g","0.0","g",""
"Tomato, canned in tomato juice, plain, undrained, no salt added","X1125","80","g","0.0","g","0.0","g",""
"Tomato, canned in tomato juice, plain, undrained, salt added","X1124","80","g","0.0","g","0.0","g",""
